timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
32700;2488.0;480.0;2008.0
32800;2410.0;402.0;2008.0
32900;2518.0;510.0;2008.0
33000;2509.0;501.0;2008.0
33100;2509.0;501.0;2008.0
33200;2500.0;492.0;2008.0
33300;2985.0;537.0;2448.0
33400;2401.0;393.0;2008.0
33500;2576.0;528.0;2048.0
33600;2389.0;501.0;1888.0
33700;2643.0;555.0;2088.0
33800;2643.0;555.0;2088.0
33900;2643.0;555.0;2088.0
34000;2692.0;604.0;2088.0
34100;2692.0;604.0;2088.0
34200;2782.0;574.0;2208.0
34300;2692.0;604.0;2088.0
34400;2692.0;604.0;2088.0
34500;2936.0;688.0;2248.0
34600;2880.0;632.0;2248.0
34700;2800.0;632.0;2168.0
34800;2828.0;660.0;2168.0
34900;2948.0;660.0;2288.0
35000;2680.0;632.0;2048.0
35100;2736.0;688.0;2048.0
35200;2828.0;660.0;2168.0
35300;2828.0;660.0;2168.0
35400;2828.0;660.0;2168.0
35500;2868.0;660.0;2208.0
35600;3028.0;660.0;2368.0
35700;3308.0;660.0;2648.0
35800;2336.0;688.0;1648.0
35900;2908.0;660.0;2248.0
36000;2922.0;674.0;2248.0
36100;3390.0;702.0;2688.0
36200;2908.0;660.0;2248.0
36300;2908.0;660.0;2248.0
36400;2908.0;660.0;2248.0
36500;2969.0;681.0;2288.0
36600;2959.0;631.0;2328.0
36700;2984.0;656.0;2328.0
36800;3034.0;706.0;2328.0
36900;3046.5;718.5;2328.0
37000;3059.0;731.0;2328.0
37100;3009.0;681.0;2328.0
37200;3009.0;681.0;2328.0
37300;3009.0;681.0;2328.0
37400;2984.0;656.0;2328.0
37500;3106.5;618.5;2488.0
37600;3184.0;656.0;2528.0
37700;2904.0;656.0;2248.0
37800;3005.5;757.5;2248.0
37900;3083.0;675.0;2408.0
38000;3083.0;675.0;2408.0
38100;3114.5;706.5;2408.0
38200;3234.5;706.5;2528.0
38300;3203.0;675.0;2528.0
38400;2664.0;696.0;1968.0
38500;3024.0;696.0;2328.0
38600;3211.0;723.0;2488.0
38700;3202.0;714.0;2488.0
38800;3064.0;696.0;2368.0
38900;3184.0;696.0;2488.0
39000;3091.0;723.0;2368.0
39100;3226.0;738.0;2488.0
39200;3238.0;750.0;2488.0
39300;3208.0;720.0;2488.0
39400;3380.0;732.0;2648.0
39500;3254.0;726.0;2528.0
39600;3306.0;738.0;2568.0
39700;3294.0;726.0;2568.0
39800;3294.0;726.0;2568.0
39900;3355.0;787.0;2568.0
40000;3225.0;777.0;2448.0
40100;3355.0;787.0;2568.0
40200;3355.0;787.0;2568.0
40300;3357.5;789.5;2568.0
40400;3510.0;782.0;2728.0
40500;3390.0;782.0;2608.0
40600;3435.0;787.0;2648.0
40700;3435.0;787.0;2648.0
40800;3440.0;792.0;2648.0
40900;3445.0;797.0;2648.0
41000;3440.0;792.0;2648.0
41100;3440.0;792.0;2648.0
41200;3560.0;792.0;2768.0
41300;3315.0;787.0;2528.0
41400;3440.0;792.0;2648.0
41500;3395.0;827.0;2568.0
41600;3555.0;827.0;2728.0
41700;3555.0;827.0;2728.0
41800;3537.5;809.5;2728.0
41900;3565.0;837.0;2728.0
42000;3125.0;837.0;2288.0
42100;3680.0;832.0;2848.0
42200;3562.5;834.5;2728.0
42300;3555.0;827.0;2728.0
42400;3557.5;829.5;2728.0
42500;3587.5;819.5;2768.0
42600;3640.0;832.0;2808.0
42700;3760.0;832.0;2928.0
42800;3520.0;832.0;2688.0
42900;3637.5;829.5;2808.0
43000;3220.0;852.0;2368.0
43100;3645.0;837.0;2808.0
43200;3645.0;837.0;2808.0
43300;3645.0;837.0;2808.0
43400;3805.0;837.0;2968.0
43500;3690.0;842.0;2848.0
43600;3725.0;837.0;2888.0
43700;3562.5;834.5;2728.0
43800;3722.5;834.5;2888.0
43900;3722.5;834.5;2888.0
44000;3725.0;837.0;2888.0
44100;3845.0;837.0;3008.0
44200;3600.0;832.0;2768.0
44300;3600.0;832.0;2768.0
44400;3560.0;832.0;2728.0
44500;3880.0;832.0;3048.0
44600;3810.0;842.0;2968.0
44700;3320.0;832.0;2488.0
44800;3807.5;839.5;2968.0
44900;3824.0;856.0;2968.0
45000;3704.0;856.0;2848.0
45100;3824.0;856.0;2968.0
45200;3689.0;841.0;2848.0
45300;3710.0;862.0;2848.0
45400;3827.0;859.0;2968.0
45500;3867.0;859.0;3008.0
45600;4025.5;857.5;3168.0
