rank,indicator,lookback,entry,exit,target,score,total,worst_day,turnover,trades,day_1,day_2,day_3
1126,rolling_z,500,2.75,0.5,200,-47780.9,-75510.0,-28879.0,12202,355,-27720.0,-18911.0,-28879.0
1127,rolling_z,500,2.5,0.5,150,-48034.24,-77443.0,-28645.0,14244,417,-28293.0,-20505.0,-28645.0
1128,median_mad_z,650,2.0,0.5,150,-48131.08,-56466.0,-33998.0,8290,247,-33998.0,-6955.0,-15513.0
1129,ema_z,800,2.0,0.5,200,-48901.46,-71350.0,-31026.0,18978,557,-31026.0,-18886.0,-21438.0
1130,median_mad_z,500,2.0,0.5,150,-51448.37,-65296.0,-35104.0,10186,301,-35104.0,-11135.0,-19057.0
1131,ema_z,500,2.0,0.5,100,-53011.74,-89936.0,-30499.0,14370,432,-30274.0,-29163.0,-30499.0
1132,ema_z,500,2.5,0.5,200,-53934.05,-86500.0,-32279.0,15024,438,-32279.0,-24895.0,-29326.0
1133,ema_z,650,2.25,0.5,200,-54137.49,-74470.0,-35490.0,14994,441,-35490.0,-15000.0,-23980.0
1134,median_mad_z,650,2.25,0.5,200,-54419.56,-60350.0,-39319.0,6528,192,-39319.0,-7019.0,-14012.0
1135,rolling_z,650,2.25,0.5,200,-55287.16,-84466.0,-34129.0,20830,610,-34129.0,-28259.0,-22078.0
1136,ema_z,650,2.0,0.5,150,-56024.92,-86924.0,-34260.0,16958,497,-34260.0,-23206.0,-29458.0
1137,rolling_z,800,2.0,0.5,200,-56166.51,-80398.0,-36020.0,23505,691,-36020.0,-23686.0,-20692.0
1138,ema_z,500,2.25,0.5,150,-57048.23,-91523.0,-34135.0,16238,479,-34135.0,-25318.0,-32070.0
1139,rolling_z,650,2.0,0.5,150,-61717.11,-102410.0,-36075.0,19804,578,-36075.0,-32918.0,-33417.0
1140,rolling_z,500,2.5,0.5,200,-61809.04,-99586.0,-36876.0,18268,531,-35413.0,-27297.0,-36876.0
1141,rolling_z,500,2.0,0.5,100,-62277.35,-101896.0,-36770.0,16676,501,-36610.0,-28516.0,-36770.0
1142,median_mad_z,650,2.0,0.5,200,-62810.34,-72258.0,-44725.0,10418,307,-44725.0,-8851.0,-18682.0
1143,median_mad_z,500,2.0,0.5,200,-65676.2,-83722.0,-44720.0,12852,380,-44720.0,-13991.0,-25011.0
1144,rolling_z,500,2.25,0.5,150,-68112.48,-108173.0,-41031.0,19116,565,-39180.0,-27962.0,-41031.0
1145,ema_z,650,2.0,0.5,200,-70417.87,-107599.0,-43475.0,21558,634,-43475.0,-27898.0,-36226.0
1146,ema_z,500,2.25,0.5,200,-72935.6,-116166.0,-43853.0,20548,595,-43853.0,-32071.0,-40242.0
1147,ema_z,500,2.0,0.5,150,-75808.49,-127138.0,-43983.0,20494,603,-43983.0,-39745.0,-43410.0
1148,rolling_z,650,2.0,0.5,200,-77697.11,-128282.0,-45576.0,25304,738,-45576.0,-41370.0,-41336.0
1149,rolling_z,500,2.25,0.5,200,-86199.59,-136334.0,-52067.0,24546,717,-48930.0,-35337.0,-52067.0
1150,rolling_z,500,2.0,0.5,150,-89157.2,-145530.0,-52727.0,23848,708,-52727.0,-40621.0,-52182.0
1151,ema_z,500,2.0,0.5,200,-96094.64,-159484.0,-56171.0,26322,771,-56171.0,-48590.0,-54723.0
1152,rolling_z,500,2.0,0.5,200,-112940.56,-183597.0,-66980.0,30654,900,-66980.0,-50372.0,-66245.0
