rank,name,family,lookback,entry,exit,direction,target,total_pnl,day0,day1,day2,max_abs_pos,turnover,fills,time_at_limit_pct
1093,mid_z_trend,mid_z,10,1.5,0.5,1,200,-2607566.0,-20410.0,-1614532.0,-972624.0,200,505449,28003,11.66
1094,mid_z_revert,mid_z,50,2.0,0.5,-1,150,-2613155.0,-1649546.0,-499672.0,-463937.0,150,155713,8943,31.17
1095,mid_z_revert,mid_z,200,0.75,0.5,-1,150,-2629778.0,-1632893.0,-492922.0,-503963.0,150,161175,9256,63.75
1096,ema_diff_revert,ema_diff,50,5.0,0.0,-1,100,-2629783.0,-896335.0,-882537.0,-850911.0,100,77341,4435,80.91
1097,ema_diff_revert,ema_diff,10,5.0,0.0,-1,100,-2636110.0,-895552.0,-893960.0,-846598.0,100,77019,4450,52.3
1098,ema_diff_revert,ema_diff,200,3.0,0.0,-1,200,-2640313.0,-1968881.0,-1969157.0,1297725.0,200,111295,6185,84.69
1099,mid_z_revert,mid_z,50,1.5,0.0,-1,100,-2659737.0,-906185.0,-907376.0,-846176.0,100,80979,4660,82.13
1100,ema_diff_revert,ema_diff,10,3.0,0.0,-1,100,-2669341.0,-1218224.0,-879535.0,-571582.0,100,182094,10497,57.67
1101,mid_z_revert,mid_z,10,2.0,0.0,-1,100,-2671039.0,-1115407.0,-474891.0,-1080741.0,100,150618,8660,39.03
1102,mid_z_trend,mid_z,10,1.25,0.5,1,50,-2673312.0,-841680.0,-963864.0,-867768.0,50,311278,19757,46.98
1103,momentum_revert,momentum,50,4.0,0.0,-1,100,-2690779.0,-913783.0,-906391.0,-870605.0,100,83643,4887,70.32
1104,mid_z_revert,mid_z,200,1.0,0.25,-1,200,-2692702.0,-2008710.0,-332703.0,-351289.0,200,120677,6887,63.65
1105,mid_z_revert,mid_z,20,1.5,0.0,-1,100,-2701904.0,-1127994.0,-486130.0,-1087780.0,100,151996,8741,65.53
1106,mid_z_revert,mid_z,10,1.25,0.25,-1,50,-2708361.0,-986475.0,-805335.0,-916551.0,50,258640,16315,56.92
1107,mid_z_revert,mid_z,200,1.25,0.5,-1,200,-2721524.0,-2023385.0,-332204.0,-365935.0,200,122385,7034,52.18
1108,mid_z_trend,mid_z,10,1.5,0.5,1,150,-2725641.0,-390264.0,-1497239.0,-838138.0,150,467425,26076,18.55
